koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_steff,koi_slogg,koi_srad,ra,dec,koi_radius_earth,koi_mass_earth,koi_density_proxy,log_koi_duration,log_koi_depth,koi_disposition
4.99677968,0.71,2.1717,934.7,2.78,166.95,917.0,5339.0,4.552,0.847,297.80826,47.946671,31.163800000000002,4004.25,0.13230308124331738,1.1542677217462687,6.841294912281867,CONFIRMED
4.280963604,0.424,2.875,750.8,2.3,247.87,1012.0,5644.0,4.564,0.831,294.26581,49.314091,25.783,4233.0,0.24697211596998256,1.3545456628053103,6.622470331130078,CONFIRMED
1.50635409,0.86,1.5155,2211.7,4.53,1054.12,1452.0,5714.0,4.563,0.831,295.66522,49.351009,50.78130000000001,4285.5,0.032725783700748724,0.9224715909492361,7.701968768276886,FALSE POSITIVE
670.645531,0.701,53.412,18091.0,14.14,0.35,196.0,5520.0,4.466,0.983,296.69861,49.316479,158.50940000000003,4140.0,0.0010395258057290997,3.9965847177711837,9.803225130597733,FALSE POSITIVE
61.2563628,1.248,7.633,5123.3,39.87,15.43,505.0,6144.0,4.402,1.091,283.72592,49.479519,446.9427,4608.0,5.161274122168797e-05,2.1555920692533856,8.541749209312124,FALSE POSITIVE
38.3775486,0.468,5.588,724.2,2.82,18.53,529.0,5481.0,4.369,1.036,291.72202,49.480869,31.6122,4110.75,0.13012384950998213,1.8852498123153938,6.586447478880696,CONFIRMED
41.19725502,0.045,4.6297,2213.9,3.86,8.76,439.0,5031.0,4.485,0.848,286.99948,48.37579,43.2706,3773.25,0.04657328042925765,1.728056154763823,7.70296253473323,CONFIRMED
6.252962249,0.105,2.5819,1036.9,2.65,108.3,823.0,5031.0,4.485,0.848,286.99948,48.37579,29.706500000000002,3773.25,0.14393324644979905,1.2758933858842223,6.944954719971244,CONFIRMED
16.01308419,0.799,3.2554,1121.9,3.1,29.31,593.0,5015.0,4.499,0.826,297.02563,48.478588,34.751000000000005,3761.25,0.08962522964473778,1.4481887646574803,7.023669903578493,CONFIRMED
32.62876672,0.021,4.7971,1804.8,3.36,15.55,506.0,5586.0,4.56,0.798,285.71854,48.505859,37.665600000000005,4189.5,0.07840206919942876,1.7573577925106914,7.498758985873379,CONFIRMED
91.7732862,0.606,6.473,652.0,2.12,3.92,359.0,5586.0,4.56,0.798,285.71854,48.505859,23.765200000000004,4189.5,0.3121316255887626,2.011296524948153,6.481577129276431,CONFIRMED
4.959319244,0.831,2.22739,9802.0,12.21,349.4,1103.0,5712.0,4.359,1.082,292.16705,48.727589,136.87410000000003,4284.0,0.0016706506058968193,1.1716737610509584,9.190443740261726,CONFIRMED
2.701287801,1.016,3.3827,860.4,6.54,527.81,1222.0,5550.0,4.468,0.91,297.92365,48.777321,73.3134,4162.5,0.010563410663307085,1.4776649728244409,6.75855897262001,FALSE POSITIVE
